2.435918367,1
5.088367347,2
5.989501134,3
7.062380952,4
8.017029478,5
8.941836735,6
9.824172336,7
10.709614512,8
11.585306122,9
12.485600907,10
13.368979592,11
14.310657596,12
15.269637188,13
16.215510204,14
17.143537415,15
18.119750567,16
19.045714286,17
19.983038549,18
20.895623583,19
21.790090703,20
22.621995465,21
23.839478458,22
24.757551020,23
25.622176871,24
26.535804989,25
27.421904762,26
28.281632653,27
29.142154195,28
30.078594104,29
30.942448980,30
31.861859410,31
32.742108844,32
33.670113379,33
34.562494331,34
35.421746032,35
36.327392290,36
37.231020408,37
38.185804989,38
38.997732426,39
39.980634921,40
40.833492063,41
41.744580499,42
42.622630385,43
43.461700680,44
44.431519274,45
45.286462585,46
46.238185941,47
47.106916100,48
48.000680272,49
49.273469388,50
50.246145125,51
51.173877551,52
51.990158730,53
52.894829932,54
53.837392290,55
54.701564626,56
55.630022676,57
56.573605442,58
57.495895692,59
58.431519274,60
59.349297052,61
60.237551020,62
61.181383220,63
62.096689342,64
62.949297052,65
63.902040816,66
64.797482993,67
65.688820862,68
66.669319728,69
67.549365079,70
68.466938776,71
69.375147392,72
70.272879819,73
71.176009070,74
72.106326531,75
73.005895692,76
73.941496599,77
74.943356009,78
75.896077098,79
76.861383220,80
77.757369615,81
78.628571429,82
79.533446712,83
80.381360544,84
81.288503401,85
82.230634921,86
83.109387755,87
83.981519274,88
85.002448980,89
85.878775510,90
87.176031746,91
88.101519274,92
88.969569161,93
89.830702948,94
90.741950113,95
91.600680272,96
92.469659864,97
93.301519274,98
94.253628118,99
95.183673469,100
96.125782313,101
96.981609977,102
97.879818594,103
98.791133787,104
99.645804989,105
100.533469388,106
101.884081633,107
102.812789116,108
103.669591837,109
104.800272109,110
105.711859410,111
106.662290249,112
107.477414966,113
108.427052154,114
109.375192744,115
110.238367347,116
111.137596372,117
112.024331066,118
112.891768707,119
113.807505669,120
114.766326531,121
116.042471655,122
116.976326531,123
117.903673469,124
